Job Title,Comapny Name,Location,Job Description,Link
Game Data Analyst,Eastside Games,Remote,"WHAT DOES IT MEAN TO WORK AT ESG?We are East Side Games - a pillar in beautiful Vancouver’s gaming community. Our mission is to create games that are easy to pick up, hard to put down, and don’t suck! We put players at the heart of our evolution, independence, and profitability. With their help, we’ve defined the narrative idle gaming space with huge IPs that reach the lives of millions globally... And we’re just getting started!Culture rules here, and that’s what makes us unique. We put people at the core of what we do. We believe that you can steer the ship of your career, and we anchor through support, trust, and connection. Tackle your challenges, share your learnings, then share a drink with the studio in our weekly Cheers Friday Announcements. Have we piqued your curiosity? Then check out our amazing Culture and Benefits!WHAT IMPACT CAN A GAME DATA ANALYST HAVE AT ESGAt East Side Games, we all band together to deliver a world-class gameplay experience for our players around the globe. Whether that’s working with Ricky and the Gang on Trailer Park Boys: Greasy Money, or on any of our other current or upcoming titles, you’re committed to making memorable player experiences. Everyone has an impact here. As a Game Data Analyst, you create actionable insights from the data we collect that directly leads to product improvements. Through a deep understanding of our player’s behaviour, you’ll work on building dashboards and reports that ultimately lead to a world-class game experience our players cherish.WHAT YOU MIGHT DO IN YOUR DAY TO DAYEvaluate and explore opportunities in our games and operations, through detailed querying and analysis of our data.Be a key bridge between data, game design, and the business through the creation of reports and dashboards, helping to illustrate the ongoing story told by our data.Build partnerships with each team member, sharing the tools and insights that improve retention and monetization within our products.Formulate hypotheses and run a variety of A/B tests to determine the best strategies to implement into our products.Continuously improve, maintain, and develop our analytics tools and predictive models for our games.WHAT YOU BRING TO ESGA bachelor's degree in mathematics, statistics, computer science, economics, or a related quantitative field; or a graduate degree in data science or business analytics.Expert level knowledge of SQL (e.g., window functions), Tableau, and proficiency with at least one scripting language (e.g., R, Python).Ambition to own and take ownership of the reporting and analysis functions for our games.The ability to tell a convincing story with data.An innate curiosity and ability to look at large complex data sets and formulate meaningful conclusions.Previous experience A/B testing and calculating statistical significance within a big data context (e.g., bootstrapping, permutation testing).Strong written and oral communication skills.Mobile, F2P, or idle game experience and interest is a HUGE plus!YOU ARE:Hungry, humble, and smart and can use these three pillars to impact you and those around you.A mobile game fanatic. You are on top of the latest games, trends, and what’s happening in live events.Entrepreneurial, self-motivated, and have the attitude to get things done.A risk-taker, and gain your biggest learnings through them.Empathic, compassionate, and curious.Solution-oriented and data-driven.Comfortable in an environment where priorities and plans change rapidly.WE’RE BUILT ON THE FOUNDATIONS OF DIVERSITY AND INCLUSIONEast Side Games are an equal opportunity employer that values diversity and inclusion. We welcome and encourage people of all backgrounds to apply, and will utilize the strengths you bring to foster your growth and the studio's growth.If this sounds like everything you hoped for and more, and you’re enthused to build genre-defining narrative idle games, click the “Apply Here” button below. If now is not the right time for you but you know someone who would be a great match for us at East Side Games, check out our referral bonus here! Let’s build great games together.We can’t wait to hear from you!0geZvA4Oor",https://ca.indeed.com/rc/clk?jk=28c690603899b05c&fccid=e925e54c05b48845&vjs=3
Data Scientist,48Hour Discovery Inc,"Edmonton, AB","Data Scientist, 48Hour DiscoveryFounded in 2017, 48Hour Discovery (48HD) is a Canadian biotechnology company with headquarters in Edmonton, AB and satellite sites in San Diego, California and Seoul, South Korea. The 48HD genetically-encoded platform technology offers rapid discovery of pharmaceutical leads in the peptide / macrocycle therapeutic space to major pharmaceutical companies (example: https://tinyurl.com/yyvv626v ).We are currently seeking a creative and motivated data scientist to join our team. The ideal candidate will have extensive experience with machine learning. This candidate will develop automate, reusable models for predictive analytics in the peptide/macrocycle space.Primary ResponsibilitiesThis is a key position in developing the platform to discover future pharmaceutical leads while driving the adoption of AI. All applicants must be prepared to provide demonstrated experience in the following:Work with structured and unstructured raw data to design and develop innovative predictive models using machine learning techniques.Visualize and report data findings creatively in various visual formats that provide insights.Additional consideration will be given to individuals with experience in the following:Work with chemical/molecular structures.Work with Next Generation Sequencing (NGS) data.Data collected from phage display experiments.Bioinformatics background.QualificationsBSc, MSc or PhD in Computer Science, Machine Learning, Artificial Intelligence, Statistics, Mathematics, Engineering, Computational Biology, Molecular Biology, Chemistry, Biochemistry or a related discipline, with (at minimum) graduate-level courses in machine learning, or equivalent practical experience.Minimum 2 years in implementing Machine Learning software.Strong research experience in machine learning, preferably in deep neural network architectures.Proficient in deep learning frameworks like PyTorch and scientific computing packages. Able to implement an algorithm as described in an academic paper using these frameworks in quality code.Strong computer science background, with experience in object-oriented programming, systems design, data structures and algorithms. Proficient in Python and/or R, with an interest in learning new languages.Familiarity with source control (Git) and Unix systems.Efficient written and verbal communication skills with the ability to present to a wide range of audiences.This full-time position has a term length of 12 month, with the possibility of extension, and offers a comprehensive benefits package. Salary will be commensurate with experience and qualifications.Work remotelyNoJob Types: Full-time, PermanentSalary: $55,000.00-$70,000.00 per yearBenefits:Extended health careSchedule:Monday to FridayAbility to commute/relocate:Edmonton, AB T6G 2M9: reliably commute or plan to relocate before starting work (required)Experience:machine learning: 1 year (preferred)Data Scientists & Statisticians: 1 year (preferred)",https://ca.indeed.com/company/48Hour-Discovery/jobs/Data-Scientist-0cd81945dc51cbbd?fccid=bdc3a61227558668&vjs=3
Data Analyst,Dapper Labs,Remote,"Working in the Financial Products organization, your role will put you in direct interactions with all the major dApps building products revolving around the trading, lending of fungible and non-fungible tokens on Flow.You will play an instrumental role in building a range of business critical dashboards to track various on-chain metrics across a multitude of use cases.Among the longer term objectives of this role, you will be in charge of building a flexible and comprehensive intelligence center that will aggregate all relevant data impacting our business and the market we participate in.What we’ll accomplish together:Explore how users are interacting with a decentralized gaming product to pave the way for navigating business intelligence in gaming and blockchain.Break down the language barrier between raw data and analytics to deliver actionable insights by turning complex problems into structured projects with clear business objectives.Create narratives from the metrics produced by a unique environment to inform high-level decision making and goal setting, fundamentally impacting business planning.Partner with cross-functional (product, marketing, development) teams to understand their needs and priorities with multiple perspectives to guide product performance improvement.A Little about you:Demonstrated experience in Data Analysis or Data ScienceYou’re a strong communicator who can convey even the most complex analyses into compelling narratives using both language and visualizations.Strong proficiency in Python (or the demonstrated ability to learn new languages quickly) and SQL.Have strong math skills, particularly in statistical analysis.Consumer product experience welcome but not mandatoryFamiliarity with major Blockchain analytics platforms (Dune Analytics, Nansen etc.) welcome.Experience performing A/B testing.Expertise in data visualization/BI tools (MixPanel, Google Data Studio, Tableau, etc).More about Dapper Labs:Dapper Labs, the company behind CryptoKitties, NBA Top Shot, NFL ALL DAY, UFC Strike and the Flow blockchain, uses blockchain technology to bring NFTs and new forms of digital engagement to fans around the world paving the way to a more open and inclusive digital world starting with games and entertainment.Since it was founded in 2018, Dapper Labs has given consumer enthusiasts a real stake in the game by bringing them closer to the brands they love, building engaged and exciting communities for them to contribute to, and producing new pathways for them to become creators themselves. Dapper Labs' current studio partners include the NBA, NBPA, WNBA, WNBPA, LaLiga, NFL, NFLPA, Warner Music Group, Ubisoft, Genies, and UFC. We have raised over $600M from leading and notable investors including Andreessen Horowitz, Coatue, Union Square Ventures, Venrock, Google Ventures (GV), Samsung, and the founders of Dreamworks, Reddit, Coinbase, Zynga, and AngelList, among others.Dapper Labs is accelerating the move to Web3 by building new apps and platforms that enable great user experiences while being accessible to hundreds of millions of fans of organizations like the NBA and NFL, for example. We’re ready to empower even more to bring mainstream-ready user experiences and scale to web3 applications.Visit our website to learn even more about Dapper Labs, including information about benefits and perks.#LIremote",https://ca.indeed.com/rc/clk?jk=106d9d14d0a8cd39&fccid=d6486a0a13a20d3e&vjs=3
Data Scientist,Yoppworks,"Remote in Ottawa, ON","Looking for meaningful work where you can have an impact? YoppWorks is the place for you!As a global market leader, YoppWorks exclusively offers consulting services to help guide your enterprise to success. Using open source technology, we provide mentorship to your technical teams, drive the implementation of product delivery, and offer staff augmentation engagements. Our focus is in helping organizations develop systems of innovation based on Reactive Principles.This is a fully remote role where the candidate can be anywhere in Canada!When you Work at YoppWorks…You’ll have the once-in-a-career opportunity to be a part of a movement— YoppWorks is committed to the Open-Source Community and we strongly believe all good projects start with open-source technology. As a dedicated partner of Lightbend and Google, it is the YoppWorks mission to ensure every project engagement is a success. Our Partners have some great commercial products available to support each phase of the project lifecycle.You’ll make more than just a paycheque. You’ll have the opportunity to combine your passion with purpose every day while achieving tangible results.You’ll join a high-performing, purpose-driven team that will help you advance your skills and adopt the growth mindset that’s essential to success at our company (and in everyday life). Our inclusive environment will allow you to come to work each day and be your best, most authentic self.Roles and Responsibilities:Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutionsMine and analyze data from company databases to drive optimization and improvement customer experiencesAssess the effectiveness and accuracy of new data sources and data gathering techniquesDevelop custom data models and algorithms to apply to data setsUse predictive modelling to increase and optimize customer experiences, revenue generation and other business outcomesDevelop company A/B testing framework and test model qualityCoordinate with different functional teams to implement models and monitor outcomesDevelop processes and tools to monitor and analyze model performance and data accuracyThe successful candidate will have:5+ years of experience working as Data Scientist or in similar roles2+ years of experience of applying sophisticated statistical and machine learning methods to real-world problems on top of GCPSkilled at using GCP App Engine, Google Data Studio, BigQuery, Cloud Dataproc, Cloud DataFlow pipelines, TensorFlow, Spark and other related technologiesSolid understanding using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data setsExperience working with and creating data architecturesKnowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages and drawbacksKnowledge of advanced statistical techniques and concepts (regression, properties of distributions, Bayesian inference, statistical tests, etc.) and experience with their applicationsStrong communication skills to effectively with technical and business stakeholders, and coordinate across teamsAbility to elicit, document and communicate analytic requirementsAbility to give shape to abstract ideas and present alternativeStrong problem solving skills with an emphasis on product developmentProfessional Skills RequirementsThe drive to learn and master new technologies and techniquesExperience working in a telecommunications domainPersonable and enthusiasticAbility to work as a team member in a creative, analytical, and problem-solving environmentFlexible with the ability to travel as required (once Covid-19 restrictions are removed)What you can expectAn environment where constant learning is the norm.Opportunity to work in a fast-paced environment for a dynamic company with a history of proven success.Join a team of innovative thinkers as part of a rapidly growing company that is all about helping businesses create innovative corporate and workplace giving programs.Connect with a passionate group in an open, collaborative, and fun environment.Our Commitment to a Diverse CultureWe believe in the power of diversity and we’re dedicated to creating a diverse, equitable and inclusive environment at YoppWorks. We ensure equal opportunity for all applicants and encourage people of all visible minorities, including Indigenous applicants, and those of any religion, sex, age, ability, sexual orientation, gender identity or expression to apply.Gender diversity and equality benefits everyone. We’re committed to supporting all gender identities and expressions in tech by sharing stories and advocating for equality.",https://ca.indeed.com/rc/clk?jk=3d7e85261885af56&fccid=77bd676d98235639&vjs=3
Data Scientist - Data valorization,Desjardins,"Hybrid remote in Montréal, QC","Desjardins Group is the largest cooperative financial group in Canada, and one of the largest employers in the country. It offers a full range of financial products and services and is home to a wealth of expertise in property and casualty insurance, life and health insurance, wealth management, services for businesses of all sizes, securities brokerage, asset management, venture capital, and secure, leading-edge virtual access methods.Job LevelNV-09As a data scientist, you provide the data needed to make business decisions, develop solutions and services adapted to business issues and understand member and client behaviour.You provide guidance and support to clients for advanced analytics and artificial intelligence mandates that involve using data and developing models adapted to business needs.Your projects and initiatives require extensive knowledge of your field.You use your analytical skills and extensive knowledge of your line of business to solve complex business problems using data from the data warehouses. You prepare recommendations, solutions and action plans based on the organization’s objectives and priorities.You serve as a data use resource person for various stakeholders. You interact with stakeholders working in other fields to understand needs and present easy-to-understand analysis results.General Information on the PositionOther working conditionsWorkplace: Currently regular telework because of the pandemic. Position located in Montreal. The work arrangement for the position is hybrid work #LI-HybridNumber of jobs available: 1QualificationsBachelor’s degree in a related fieldA minimum of four years of relevant experienceMaster's degree in an appropriate discipline (an asset)Experience in risk reporting (an asset)Please note that other combinations of qualifications and relevant experience may be consideredProfessional designation in an appropriate discipline (an asset)For vacant positions available in Quebec, please note that knowledge of French is requiredSpecific knowledgeVery good knowledge of banking activities (an asset)Knowledge of the Basel Accord and regulatory capital (an asset)Knowledge of SQL (an asset)Desjardins Cross-sector skillsAction oriented, Customer Focus, Differences, Nimble learningKey competencies for the jobComplexity, Innovation, Interpersonal SavvyWork Location1170, rue Peel MontréalTrade UnionNon SyndiquéUnposting Date2022-04-8Job FamilyData (FG)",https://ca.indeed.com/rc/clk?jk=cf7877550073c035&fccid=d1e5df65baa8857f&vjs=3
Data Analyst II (Data Science/ML),Cvent,"Remote in Fredericton, NB","The mission of the Data Science team is to enhance Cvent’s products with AI and machine learning driven features, and to enable the company to make data-informed decisions at all levels. Cvent has a vast amount of data, and significant domain expertise, which we are using to design intelligent features that deliver value to our customers. We are on AWS, use Tableau as a reporting & dashboarding tool, and have recently started using Snowflake as an enterprise data warehouse.We are hiring a Data Analyst II to work on statistical analysis of data, creating dashboards, and building and maintaining documentation on data. You must be highly collaborative and used to taking initiatives: you will work with data scientists, software developers and product managers on a daily basis. You will be an integral part of a fast-growing team, strongly committed to impacting the company via industry-leading machine learning, data products and data analytics.What you will do:Perform statistical analysis of data.Design randomized controlled trials (A/B tests), and analyze results.Build and maintain dashboards for the Data Science team, using Tableau, Amazon QuickSight, and possibly other tools.Understand Cvent's data: for example, what data points are captured from a particular product line and how specific data tables were created.Use this understanding of data to create and maintain data dictionaries relevant to the Data Science team.Communicate relevant findings and results to the team.Basic qualifications:A Bachelor's degree in statistics or another quantitative field.At least 2 years of experience working as a data analyst in industry.Proficiency working with relational (SQL) databases.Proven skills in data visualization and dashboard creation.Deep experience with Tableau.Experience designing and analyzing A/B tests.Critical thinking and strong problem-solving ability.Excellent written and verbal communication skills.Advanced qualifications:Master's or higher degree in statistics or another quantitative field.Proficiency in the Python language.Experience with noSQL data stores.Familiarity with AWS services, especially QuickSight as a dashboarding tool.Familiarity with Snowflake.Understanding of data modeling and data store management.Conceptual understanding of machine learning.Proven ability for proactive, independent work with minimal supervision.If you are a good fit for the role, please apply! Your resume should be no more than two pages in length.",https://ca.indeed.com/rc/clk?jk=585c1a4737ecc199&fccid=9e35787f589fa60f&vjs=3
Toronto - R&D Data Scientist,Rubicon HR Canada,"Toronto, ON+3 locations","We are looking to hire an R&D Researcher in Canada. This position can be worked from anywhere in Canada. The job is an English-speaking position, but French-speaking would be a bonus.This position is open to a more flexible schedule if you are still studying.About The Client:For over five years they have been a growing and innovating enterprise in the TMS (Transportation Management Systems) field. Their solution is used by clients globally and they are always putting out fresh ideas that keep the clients more than satisfied. Located in Montreal, they are open to remote positions.About the Role:Maintain an acute awareness of the industry and what the competitors are putting out.Investigate new options for the system.Coordinate with Senior R&D R&D regarding tech.Coordinate with team members to discover the best solution for the clients.Conceptualize new features that we could offer exclusively.Requirements:1+ years of Experience in Software DevelopmentEducation: BSc or M.tech in Computer Science/Engineering preferably with a focus on AI.Nice to Have:Strong hold on Data structures and Algorithms.Experience with Anaconda/Python/Tensorflow.French Language skills.Details:Hours: 30-40 hours/week.Wage: $70,000 - $80,000/year.2 Weeks of Vacation.A great environment and the right tools to do great work.To speak to the hiring manager please call Virginia Johnson at 778-982-1200, please only contact the hiring manager if you meet all the requirements and would like to make your application stand out.xy0BWd638Y",https://ca.indeed.com/rc/clk?jk=a835988df3a1d517&fccid=6fb6dd25d405091b&vjs=3
Data Scientist,Desjardins,"Remote in Montréal, QC","Desjardins Group is the largest cooperative financial group in Canada, and one of the largest employers in the country. It offers a full range of financial products and services and is home to a wealth of expertise in property and casualty insurance, life and health insurance, wealth management, services for businesses of all sizes, securities brokerage, asset management, venture capital, and secure, leading-edge virtual access methods.Job LevelNV-11As a credit risk management data scientist, you provide the data needed to make business decisions, develop solutions adapted to business issues and understand member and client behaviour.You lead and influence different stakeholders in projects and initiatives to proactively meet cross-sector business needs, through the development of highly innovative models and complex strategic interventions in advanced analytics.You coordinate and work with more junior resources, which requires management skills and extensive knowledge of the credit risk field. You make recommendations on the development of their files and are able to redirect them.You serve as an expert advisor and subject matter expert in your field, as well as a resource person and coach for the team. You interact with many stakeholders working in a wide range of fields and advise decision-making committees on strategic directions and business positions.General Information on the PositionMain responsibilitiesCoordinate and track the performance of credit risk models.Oversee data mining, evaluation, feature engineering, quality inspection and adjustment of available data, and the selection of predictors for multidisciplinary and strategic predictive modelling mandatesAnalyze client and partner needs, and lead initiatives involving complex business issues that may lead to business positions and recommendations involving strategic directions for the operationalization of advanced analytic solutionsProvide the programming needed to prepare and mine data, and develop, evaluate, support, roll out and manage highly conceptually complex, innovative modelsRepresent the teams in dealings with members of senior management as well as with partners and external organizationsEstablish and draft IT best practices, procedures and choices. Advise and train teams on model development methods and make improvements to themIdentify opportunities to improve rules and systems, anticipate underlying impacts of changes and oversee the enhancement of data management tools.Other working conditionsWorkplace : Currently regular telework because of the pandemic. Position located in Montreal or Levis, depending on the applicant selected. The work arrangement for the position is hybrid work #LI-HybridNumber of job available : 2QualificationsBachelor’s degree in a related fieldA minimum of eight years of relevant experienceRelevant experience in credit risk management and quantificationPlease note that other combinations of qualifications and relevant experience may be consideredFor vacant positions available in Quebec, please note that knowledge of French is requiredSpecific knowledgeKnowledge of SAS, Python and RKnowledge of statistical concepts (an asset)Desjardins Cross-sector skillsAction oriented, Customer Focus, Differences, Nimble learningKey competencies for the jobComplexity, Innovation, Interpersonal SavvyWork LocationComplexe Desjardins MontréalTrade UnionNon SyndiquéUnposting Date2022-04-4Job FamilyData (FG)",https://ca.indeed.com/rc/clk?jk=972c097d4198c29d&fccid=d1e5df65baa8857f&vjs=3
Senior Data Scientist,Trust Science Inc.,"Remote in Toronto, ON+1 location","The Opportunity: Senior Data ScientistTrust Science is looking for an experienced Senior Data Scientist to join our growing team!Key AccountabilitiesDuties and responsibilities will include, but will not be limited to the following: Work with customer-provided data, which is often messy, to understand their business and clients.Perform EDA to clean and organize data for analyses, linking multiple data sets from many sources.Develop xAI/ML models to predict credit risk, recommended loan amounts, target consumers, etc.Analyze models for efficacy, regulatory requirements, performance, etc.Perform analysis to determine business value, ROI/Return on Capital, optimal strategies and overall effectiveness for Trust Science customers.Work with Trust Science customers directly to understand business problems they are trying to solve, monitor their underwriting and marketing tools, provide data driven consulting and support their overall business objectives.Work directly with Sales and Trust Science executives to support the growth of the company.Requirements: 3+ years hands on data and analytic experience3+ years developing credit risk and/or marketing models3+ years using Python, Jupyter Notebook and RExperience working in Cloud environments, AWS preferredExperience doing ETL and working within big data environments preferredMaster’s Degree or Ph.D in analytic oriented field (ex. Mathematics, Statistics, Engineering, etc.) with a strong preference for anyone on an “applied” track (vs. research-focused)Self-motivated and have excellent time management skillsBenefits: Be a part of building something that will help emerging consumers and consumers that have a difficult time getting credit to better their lives.Projects that vary widely in problems being solved, analysis techniques used and data sources evaluated.Direct interaction with senior leaders of Trust Science.Work from home primarily with office visits in Edmonton, CanadaCurrent colleagues located in Atlanta, New York, San Francisco, Edmonton, Vancouver and Toronto.You’ll be a great fit if...You want to make an impact in an emerging field using the latest technologies.You are self motivated, a great team player and thrive in a high trust environment.You are confident in your abilities yet humble.About www.TrustScience.comOur Vision:We Deliver a Globally Recognized Service to Assess Peoples' TrustworthinessOur mission is an important one:To allow deserving people to get what they deserveOur Go To Market motion: Help lenders give money to the right borrowersTrust Science ® is a FinTech SaaS committed to using cutting-edge AI and ML technology to advance alternative credit underwriting with Credit Bureau 2.0 ® / Credit Bureau +™, helping lenders more fairly and accurately assess thin-file, financially stressed, or underbanked applicants. Trust Science’s patented technology gives lending leaders in an ethical, powerful and compliant way to score borrowers missed by conventional credit models. Trust Science paves the way to a more financially inclusive economy in which deserving people get access to loans that they deserve.At Trust Science, we pride ourselves in a corporate culture that continuously moves us towards a more engaged, equitable, diverse and inclusive community of high-quality employees.Next StepsAre you ready for an exciting and challenging opportunity to make a difference?If so, Trust Science® would love to hear from you!For more information about Trust Science Inc., please visit our website:www.TrustScience.comJob Types: Full-time, PermanentBenefits:Casual dressDental careDisability insuranceEmployee assistance programExtended health careFlexible scheduleLife insurancePaid time offStock optionsTuition reimbursementVision careWork from homeSchedule:8 hour shiftExperience:data and analytic: 3 years (preferred)credit risk and/or marketing models: 3 years (preferred)",https://ca.indeed.com/company/Trust-Science-Inc./jobs/Senior-Data-Scientist-b38a1139a2a1f072?fccid=a306715866824280&vjs=3
Data Scientist - Biology,Deep Genomics,"Remote in Toronto, ON","About UsDeep Genomics is a Toronto-based startup company that is building an AI-powered discovery and development platform to significantly expand the universe of medicines available for genetically-defined diseases. Founded in 2015, Deep Genomics brings together a multidisciplinary team of world-leading experts in machine learning, genomics, chemistry, and biology. Together we are on a mission to rapidly discover and develop oligonucleotide drugs for the treatment of patients with severe disorders of the liver, central nervous system, and eye.About the roleWe are seeking a highly motivated data scientist (positions open in multiple groups) with strong programming and scripting skills to help us advance our therapeutic programs to the next level. The successful candidate will work in a multidisciplinary team of biologists and computational scientists, and take on tasks spanning analysis and visualization of experimental data, processing of genomics data, designing antisense oligonucleotide compounds, and supporting pre-clinical development programs. The ideal candidate would have a good understanding of molecular biology, human genetics, and statistics.What you'll do?Analyze high-throughput experiments to assess data quality and identify hits.Build tools to streamline design of antisense oligonucleotide compounds.Support pre-clinical development programs with computational analysesWhat do you bring ?BSc in Computer Science, Statistics, Bioinformatics, or related fields and two years post-graduate experience, or MSc in the related fields.Solid knowledge of Python, and some knowledge of R is desirable.Solid statistics knowledge with ability to perform various statistical analyses independently.Understanding of basic concepts in molecular biology and human genetics.Comfort working in a fast-paced and rapidly growing work environmentWhat we offer ?A highly competitive salary and meaningful equity compensation (ESOPs).A wide array of company-paid benefits.Exceptional opportunities for learning and growth working alongside the world’s best team.An opportunity to work alongside a bright, collegial, highly motivated team working at the intersection of the most exciting areas of science and technology.Deep Genomics encourages applications from all backgrounds who seek the opportunity to build the world's leading AI-driven genetic medicine company.If you have a disability or special need, accommodation is available on request for candidates taking part in all aspects of the selection process",https://ca.indeed.com/rc/clk?jk=85b3cd915a86a854&fccid=7439b4dd3d2dd6bc&vjs=3
Data Scientist II,Microsoft,"Vancouver, BC","The OneDrive and SharePoint Data Science team's charter is to foster a data-driven culture to encourage and enable the entire organization to make more informed decisions through data. Our data and analytics team works closely with engineering, marketing, finance, and business leaders to identify opportunities for improving the customer experience and accelerate our business's growth in support of this mission. We analyze historical data to understand salient trends, deliver standardized views of business performance, develop models to predict performance, recommend actions to be taken, and run experiments to prove that desired outcomes are being achieved.We are looking for a Data Scientist to join a new team focused on unlocking value for Microsoft customers by understanding product usage patterns across the entirety of Microsoft 365 (Viva Connections, Cortex, Syntex, OneDrive, Lists, SharePoint, and beyond). This is a unique opportunity to bring your knowledge of Consumer and Commercial offerings, as well as your deep understanding of data science methods and best practices, to help Microsoft deliver the best experience possible for our customers and partners. You will be joining a group of experts on the front lines of synthesizing vast customer purchase and engagement behavior data sets into targeted recommendations for addressing real-world business challenges at scale.We are looking for you to bring a fresh perspective and your unique voice to our team.ResponsibilitiesWork cross functionally to translate business problems into ones that can be solved and informed by data analysisHave curiosity and apply analytical skills to dive deep into data to find key insights that impact the business.Develop models of usage, user behavior & business behavior to make recommendations and influence the product road map.Work with other teams across Microsoft to develop key metrics to achieve business outcomes.Be a champion of AB testing. Design, execute and analyze experiments to prove product change attribution.Utilize tools like Data Bricks, R, Python, SQL to execute analysesQualifications3+ years experience with SQL, R, Python, Databricks, or related tools for large-scale analysis.Show strong passion for & understand the need to deliver the right business impact by working with stakeholders to turn business problems into data analysis questions and unearthing deep insights from data.Have a track record of innovative thinking and problem-solving skills using Big Data.Be self-driven and show the ability to deliver on ambiguous projects with incomplete data.Understanding of the practical uses of statistics (i.e. experimentation, sampling)Professional experience with large-scale computing systems like Hadoop, MapReduce, and/or similar systems.Excellent communications & interpersonal skills. Ability to convince other strong personalities of their ideas and communicate complex analysis & insights to a non-technical audience.Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://ca.indeed.com/rc/clk?jk=5998307ce84bd1f5&fccid=734cb5a01ee60f80&vjs=3
Senior Data Scientist,Royal Bank of Canada,"Toronto, ON","Come Work with Us!At RBC, our culture is deeply supportive and rich in opportunity and reward. You will help our clients thrive and our communities prosper, empowered by a spirit of shared purpose.Whether you’re helping clients find new opportunities, developing new technology, or providing expert advice to internal partners, you will be doing work that matters in the world, in an environment built on teamwork, service, responsibility, diversity, and integrity.Job TitleSenior Data ScientistJob DescriptionWhat is the Opportunity?In this role as a Data Scientist, you will analyze, design, and implement data science/machine learning solutions using state of the art tools and algorithms. The group specializes in taking full advantage of large data sets to explore and discover new insights that would have not been possible with traditional analytics. You will get the opportunity to work on cutting-edge technology and complex problems that generate significant value and have a high long-term impact on the bank’s growth.What will you do?Work on challenging business problems by leveraging large RBC data, translating them into machine learning problems and applying advanced machine learning algorithms to generate business valuePartner with different business units to understand their problems and requirements, leverage internal RBC / external data to build robust machine learning solutions and communicate insights, results with businessAnalyze, clean, and process large structured or unstructured datasets and generate useful business insights that drive decision makingApply supervised or unsupervised learning algorithms, validate models, explain model predictions and generate reports for businessesCollaborate with data engineering/ software engineering teams to deploy models to productionWhat do you need to succeed?Must-haveMasters or PhD in a quantitative discipline such as computer science, mathematics, statistics, or engineeringTheoretical as well as practical knowledge of deep learning techniques applied in Computer Vision2+ years of expert level programming experience in Python (preferable) or R is a must - ability to write production-level code and documentation2+ years’ experience working with large datasets - exploring and understanding data, cleaning and pre-processing, performing exploratory data analysis, generating business insights and communicating them in a clear, concise manner2+ years’ experience developing and deploying models in production for real business problemsKnowledge of standard machine learning libraries like numpy, pandas, scikit learn and visualization packages like seaborn or matplotllib,etc and machine learning algorithms like logistic regression, tree based models, decision trees, random forests, etcExperience working with version control - git and linuxNice to haveHave experience working in NLP - text data preparation, word embeddings, RNN’s etcPrevious experience in deep learning for understanding Aerial ImageryExperience working with big data, pyspark, scalaExperience in developing attrition models with proven success. Publications in machine learning and artificial intelligence.Passion for synthetic data set generation and differential privacy based on new deep learning based techniquesWhat’s in it for you?A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicableOpportunity to work on very high impact visible business problems that are intended to improve existing business processes significantlyGaining real world experience of working on challenging business problems and working in a high performing teamLearning new technologies, methods and applying them to deliver business valueNetworking and building lasting relationships in the bank, gaining from mentorship or coachingCollaborative work environment, supportive team and work life balanceRBC requires as a condition of employment that all successful candidates in the United States and Canada be fully vaccinated against COVID-19 prior to their start date, and may require proof of the same. Reasonable accommodation is available where required by law.RBC exige, à titre de condition d’emploi, que tous les candidats retenus aux États-Unis ou au Canada soient entièrement vaccinés contre la COVID-19 avant leur date d’entrée en fonction. Il est possible qu’ils aient à présenter une preuve vaccinale. Des mesures raisonnables d’adaptation sont offertes lorsque la loi l’exigeJob SummaryAddress:TORONTO, Ontario, CanadaCity:CAN-ON-TORONTOCountry:CanadaWork hours/week:37.5Employment Type:Full timePlatform:Technology and OperationsJob Type:RegularPay Type:SalariedPosted Date:2022-03-16-07:00Application Deadline:2022-03-16-07:00Inclusion and Equal Opportunity EmploymentAt RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.Join our Talent CommunityStay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.",https://ca.indeed.com/rc/clk?jk=647211cd1682df8d&fccid=537b899e30af3338&vjs=3
